invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,ssn,is_restricted
I290741,C819584,Female,48,Clothing,1,300.08,Credit Card,15/07/2022,Istinye Park,000-36-2344,True
I236815,C302290,Male,48,Food & Beverage,5,26.15,Credit Card,23/09/2021,Kanyon,000-91-4439,False
I127562,C224186,Female,51,Clothing,3,900.24,Cash,4/3/2021,Metrocity,000-76-7379,False
I240177,C183066,Female,67,Clothing,1,300.08,Cash,18/04/2022,Mall of Istanbul,000-62-3919,True
I774205,C219384,Female,31,Toys,2,71.68,Cash,7/11/2021,Istinye Park,000-32-0616,False
I213483,C109748,Female,66,Shoes,2,1200.34,Credit Card,21/11/2021,Kanyon,000-86-2949,False
I301032,C444321,Female,25,Clothing,4,1200.32,Credit Card,5/7/2022,Mall of Istanbul,000-73-1442,False
I548921,C549441,Male,48,Food & Beverage,4,20.92,Cash,6/2/2023,Emaar Square Mall,000-90-4934,True
I128723,C194170,Female,49,Shoes,1,600.17,Cash,8/11/2022,Istinye Park,000-54-6861,False
I101083,C165321,Female,57,Clothing,3,900.24,Debit Card,4/2/2021,Kanyon,000-10-9137,True
I260973,C100159,Female,32,Toys,5,179.2,Debit Card,24/02/2022,Mall of Istanbul,000-40-3144,False
I234437,C261216,Male,37,Food & Beverage,3,15.69,Credit Card,26/09/2022,Metrocity,000-25-8686,False
I334652,C275177,Female,40,Cosmetics,3,121.98,Debit Card,12/11/2022,Metrocity,000-22-5929,False
I286575,C137009,Female,26,Souvenir,3,35.19,Credit Card,1/2/2021,Mall of Istanbul,000-79-8315,True
I101133,C270664,Female,63,Clothing,2,600.16,Cash,22/01/2022,Kanyon,000-38-7605,False
I682596,C189932,Female,26,Toys,5,179.2,Credit Card,30/11/2022,Istinye Park,000-90-3409,False
I161773,C442069,Female,22,Shoes,2,1200.34,Cash,27/07/2021,Kanyon,000-45-0869,True
I969458,C112802,Female,40,Cosmetics,5,203.3,Debit Card,6/4/2022,Cevahir AVM,000-34-1846,True
I297384,C296360,Male,50,Cosmetics,4,162.64,Debit Card,6/3/2021,Metrocity,000-29-7772,True
I119576,C142794,Male,53,Cosmetics,3,121.98,Cash,2/9/2021,Mall of Istanbul,000-73-2888,True
I206688,C224574,Female,26,Shoes,2,1200.34,Credit Card,29/10/2021,Mall of Istanbul,000-30-0706,False
I263098,C239689,Female,31,Technology,1,1050.0,Debit Card,5/2/2022,Mall of Istanbul,000-16-5966,False
I278339,C283953,Male,38,Toys,3,107.52,Credit Card,19/06/2021,Metropol AVM,000-46-3433,False
I289287,C798023,Female,43,Food & Beverage,3,15.69,Debit Card,8/11/2022,Metrocity,000-65-4118,False
I313868,C122179,Female,20,Cosmetics,5,203.3,Debit Card,9/10/2021,Mall of Istanbul,000-52-7424,False
I180090,C144227,Female,28,Food & Beverage,4,20.92,Credit Card,11/7/2022,Istinye Park,000-15-1710,True
I318154,C617474,Female,43,Food & Beverage,1,5.23,Credit Card,30/11/2021,Istinye Park,000-16-8804,False
I102162,C274417,Female,64,Food & Beverage,3,15.69,Credit Card,12/2/2023,Metropol AVM,000-32-2589,False
I180666,C168940,Female,67,Clothing,5,1500.4,Credit Card,26/02/2021,Istinye Park,000-13-7947,False
I205009,C303982,Female,51,Cosmetics,4,162.64,Credit Card,7/3/2023,Kanyon,000-75-1901,True
I172175,C155781,Male,53,Toys,2,71.68,Cash,13/10/2022,Metrocity,000-19-3855,False
I223863,C571990,Male,54,Cosmetics,5,203.3,Cash,4/6/2021,Istinye Park,000-66-9710,True
I240627,C252022,Male,57,Toys,3,107.52,Credit Card,1/7/2022,Mall of Istanbul,000-84-5340,True
I186298,C125552,Male,41,Cosmetics,2,81.32,Cash,2/11/2021,Metrocity,000-63-3256,False
I167551,C152461,Male,56,Technology,1,1050.0,Credit Card,19/05/2022,Emaar Square Mall,000-96-5336,False
I203033,C336729,Female,59,Shoes,3,1800.51,Credit Card,22/07/2021,Mall of Istanbul,000-39-1804,False
I123297,C682196,Male,46,Clothing,3,900.24,Cash,11/2/2023,Istinye Park,000-51-3731,False
I331084,C221310,Female,37,Clothing,4,1200.32,Credit Card,4/3/2021,Viaport Outlet,000-22-3884,False
I959566,C271390,Female,23,Books,3,45.45,Cash,5/1/2023,Mall of Istanbul,000-62-3276,False
I116624,C145405,Male,24,Food & Beverage,5,26.15,Credit Card,19/07/2022,Metrocity,000-58-3615,False
I200469,C216714,Male,56,Books,1,15.15,Credit Card,24/10/2021,Zorlu Center,000-19-7716,True
I123654,C295150,Female,44,Cosmetics,2,81.32,Cash,23/08/2022,Metrocity,000-84-7936,False
I305859,C660237,Male,47,Clothing,5,1500.4,Debit Card,20/01/2023,Kanyon,000-16-7141,False
I184056,C217501,Male,58,Clothing,5,1500.4,Credit Card,24/05/2021,Mall of Istanbul,000-28-3541,False
I200289,C117185,Male,49,Books,5,75.75,Credit Card,14/04/2021,Istinye Park,000-88-7454,True
I210186,C296402,Female,54,Clothing,4,1200.32,Credit Card,8/2/2021,Zorlu Center,000-32-6346,True
I109064,C346876,Female,23,Shoes,2,1200.34,Cash,24/04/2021,Forum Istanbul,000-57-2234,True
I139028,C285804,Female,20,Toys,1,35.84,Cash,29/07/2021,Kanyon,000-68-3181,True
I139454,C142131,Male,37,Clothing,3,900.24,Cash,3/6/2021,Emaar Square Mall,000-90-5875,True
I195208,C291401,Male,48,Clothing,3,900.24,Debit Card,27/11/2021,Istinye Park,000-44-3313,False
I219079,C580773,Female,18,Clothing,3,900.24,Debit Card,22/03/2022,Mall of Istanbul,000-52-2084,True
I690857,C246630,Female,44,Souvenir,5,58.65,Cash,4/11/2022,Forum Istanbul,000-14-9317,False
I188753,C594670,Female,48,Clothing,1,300.08,Credit Card,19/08/2022,Metropol AVM,000-17-4597,False
I297915,C741876,Female,21,Shoes,4,2400.68,Cash,18/07/2021,Cevahir AVM,000-27-1820,False
I228415,C764138,Male,60,Shoes,1,600.17,Cash,22/08/2022,Mall of Istanbul,000-69-7513,True
I425988,C286845,Female,53,Cosmetics,3,121.98,Cash,28/03/2022,Metrocity,000-63-2804,False
I303863,C633424,Female,28,Cosmetics,5,203.3,Credit Card,3/6/2021,Cevahir AVM,000-53-3602,False
I182618,C114812,Female,38,Cosmetics,3,121.98,Credit Card,23/09/2021,Cevahir AVM,000-47-9889,False
I151488,C318329,Female,64,Food & Beverage,2,10.46,Cash,28/10/2022,Cevahir AVM,000-30-2784,True
I338615,C522422,Male,49,Souvenir,5,58.65,Cash,30/12/2021,Metropol AVM,000-83-9056,True
I306930,C166594,Female,42,Souvenir,3,35.19,Cash,13/08/2022,Metrocity,000-39-1416,False
I132694,C238158,Female,36,Food & Beverage,4,20.92,Debit Card,22/11/2022,Kanyon,000-62-8548,True
I245646,C301090,Male,27,Souvenir,2,23.46,Cash,27/02/2021,Kanyon,000-72-3546,True
I316071,C328794,Male,24,Clothing,4,1200.32,Credit Card,19/06/2021,Forum Istanbul,000-85-7757,False
I278554,C302057,Female,20,Cosmetics,5,203.3,Cash,11/8/2021,Kanyon,000-69-4573,True
I284378,C513101,Female,57,Clothing,1,300.08,Debit Card,12/6/2021,Zorlu Center,000-11-7014,True
I283992,C222937,Male,30,Souvenir,3,35.19,Credit Card,22/01/2021,Metropol AVM,000-41-4060,True
I196380,C321824,Male,69,Clothing,3,900.24,Debit Card,19/10/2021,Kanyon,000-51-7114,True
I302188,C306593,Male,63,Clothing,1,300.08,Cash,28/03/2022,Mall of Istanbul,000-84-3643,True
I100663,C322131,Female,41,Food & Beverage,5,26.15,Cash,26/09/2021,Mall of Istanbul,000-85-2440,True
I212761,C128585,Female,68,Clothing,2,600.16,Cash,24/02/2023,Metropol AVM,000-83-0083,True
I296663,C801804,Female,26,Clothing,2,600.16,Debit Card,19/01/2023,Metropol AVM,000-63-0724,False
I141122,C248838,Female,57,Clothing,1,300.08,Cash,28/09/2021,Kanyon,000-15-7711,True
I229818,C314718,Female,49,Clothing,4,1200.32,Debit Card,28/11/2021,Viaport Outlet,000-74-0550,False
I135205,C641797,Female,28,Clothing,3,900.24,Cash,16/09/2022,Metropol AVM,000-64-8701,False
I614600,C148187,Female,45,Cosmetics,2,81.32,Credit Card,15/03/2021,Istinye Park,000-60-7852,True
I319283,C193094,Male,53,Clothing,4,1200.32,Cash,31/12/2021,Mall of Istanbul,000-99-1605,False
I697934,C675075,Male,30,Technology,2,2100.0,Credit Card,7/9/2022,Mall of Istanbul,000-67-8114,False
I316228,C104942,Male,35,Shoes,2,1200.34,Cash,17/02/2023,Metrocity,000-40-1361,False
I263207,C194351,Male,41,Shoes,5,3000.85,Debit Card,4/8/2022,Mall of Istanbul,000-81-0203,False
I333984,C120739,Female,20,Shoes,2,1200.34,Credit Card,15/06/2022,Metrocity,000-98-6662,True
I338218,C659024,Male,48,Cosmetics,2,81.32,Credit Card,3/8/2021,Mall of Istanbul,000-37-2174,False
I244775,C250258,Female,30,Cosmetics,2,81.32,Credit Card,3/12/2022,Metrocity,000-55-4846,False
I322051,C178512,Male,66,Clothing,3,900.24,Debit Card,13/06/2021,Viaport Outlet,000-40-1486,True
I355236,C319598,Female,36,Cosmetics,5,203.3,Cash,9/11/2021,Istinye Park,000-12-7860,False
I194394,C231734,Female,45,Souvenir,3,35.19,Credit Card,19/11/2021,Kanyon,000-95-4994,False
I161581,C667350,Female,26,Food & Beverage,2,10.46,Credit Card,1/12/2021,Metropol AVM,000-30-7524,True
I166250,C119046,Female,50,Clothing,2,600.16,Debit Card,5/12/2021,Istinye Park,000-83-9562,False
I965361,C248893,Female,62,Clothing,3,900.24,Credit Card,9/11/2022,Metropol AVM,000-13-7452,False
I286061,C316151,Female,25,Technology,1,1050.0,Credit Card,26/09/2022,Forum Istanbul,000-69-2271,False
I260507,C151896,Female,59,Clothing,5,1500.4,Cash,15/02/2021,Mall of Istanbul,000-61-3030,False
I298636,C268234,Female,21,Clothing,4,1200.32,Credit Card,25/02/2022,Viaport Outlet,000-57-7607,False
I894502,C284259,Male,35,Clothing,3,900.24,Debit Card,25/07/2021,Kanyon,000-91-0022,True
I233226,C149085,Male,57,Shoes,4,2400.68,Cash,5/3/2023,Istinye Park,000-90-1158,True
I209413,C904771,Female,52,Cosmetics,2,81.32,Credit Card,19/01/2022,Istinye Park,000-59-5454,False
I919536,C365166,Male,68,Shoes,2,1200.34,Debit Card,4/7/2021,Zorlu Center,000-77-0535,True
I127088,C305289,Female,43,Clothing,3,900.24,Debit Card,26/02/2023,Istinye Park,000-47-6977,True
I301937,C121213,Female,34,Clothing,2,600.16,Cash,26/03/2022,Metrocity,000-44-8887,True
I194762,C614313,Female,59,Toys,4,143.36,Debit Card,22/04/2022,Istinye Park,000-83-3393,False
I133661,C284314,Female,36,Shoes,2,1200.34,Cash,23/01/2023,Kanyon,000-97-1326,False
I137063,C335133,Male,28,Clothing,3,900.24,Debit Card,11/3/2022,Emaar Square Mall,000-89-5500,True
I878054,C238897,Female,24,Clothing,5,1500.4,Credit Card,14/02/2023,Kanyon,000-17-8433,False
I677806,C232385,Female,37,Cosmetics,4,162.64,Cash,10/7/2021,Istinye Park,000-96-5963,True
I182607,C137108,Female,67,Cosmetics,4,162.64,Credit Card,16/07/2021,Viaport Outlet,000-16-1818,False
I161622,C324012,Male,45,Toys,1,35.84,Debit Card,7/9/2021,Kanyon,000-59-5989,False
I694501,C199490,Male,38,Clothing,4,1200.32,Credit Card,20/03/2021,Metrocity,000-69-0669,False
I248578,C160685,Male,38,Food & Beverage,5,26.15,Cash,24/09/2021,Mall of Istanbul,000-56-6003,True
I309952,C203080,Female,28,Toys,3,107.52,Cash,6/7/2022,Metrocity,000-32-9155,False
I469658,C947251,Female,24,Food & Beverage,5,26.15,Credit Card,5/5/2021,Metropol AVM,000-18-9187,False
I117380,C307201,Female,39,Cosmetics,3,121.98,Credit Card,9/3/2022,Forum Istanbul,000-36-2267,True
I166443,C292690,Female,38,Clothing,3,900.24,Cash,1/2/2021,Istinye Park,000-52-3909,True
I175055,C215558,Female,44,Cosmetics,5,203.3,Credit Card,31/07/2021,Metropol AVM,000-79-1860,False
I460840,C332361,Male,18,Clothing,5,1500.4,Credit Card,24/04/2021,Emaar Square Mall,000-93-7839,True
I263088,C283758,Male,37,Clothing,3,900.24,Credit Card,25/09/2021,Mall of Istanbul,000-84-3437,False
I292607,C141080,Male,57,Books,3,45.45,Cash,27/07/2022,Mall of Istanbul,000-38-5250,True
I224224,C214137,Male,32,Souvenir,3,35.19,Credit Card,7/7/2022,Mall of Istanbul,000-55-4380,False
I276974,C633760,Female,53,Toys,4,143.36,Cash,1/9/2021,Metropol AVM,000-74-6929,False
I312466,C139574,Female,67,Clothing,4,1200.32,Credit Card,22/09/2021,Kanyon,000-45-0892,False
I720616,C295083,Female,19,Toys,3,107.52,Cash,1/3/2023,Metropol AVM,000-18-6108,False
I226732,C247743,Male,52,Cosmetics,3,121.98,Cash,6/12/2021,Metropol AVM,000-54-7412,True
I324598,C591468,Male,66,Cosmetics,5,203.3,Credit Card,30/07/2022,Kanyon,000-72-8215,True
I417236,C250482,Female,40,Souvenir,1,11.73,Cash,14/11/2021,Mall of Istanbul,000-77-2010,True
I145305,C760404,Female,43,Shoes,1,600.17,Debit Card,8/4/2021,Emaar Square Mall,000-70-8714,True
I224917,C268028,Female,60,Books,4,60.6,Debit Card,12/2/2023,Metrocity,000-96-8730,False
I155993,C184140,Female,21,Cosmetics,1,40.66,Credit Card,16/09/2022,Viaport Outlet,000-47-7405,True
I790600,C299548,Female,46,Cosmetics,2,81.32,Cash,16/08/2022,Forum Istanbul,000-89-6031,True
I366168,C174628,Female,63,Cosmetics,5,203.3,Debit Card,9/6/2022,Kanyon,000-96-1075,False
I278548,C281862,Female,56,Clothing,1,300.08,Cash,27/09/2022,Kanyon,000-34-7501,False
I202697,C966991,Female,29,Clothing,2,600.16,Cash,24/02/2021,Mall of Istanbul,000-21-1313,False
I172725,C183190,Female,69,Cosmetics,1,40.66,Cash,20/03/2021,Kanyon,000-60-2929,False
I306740,C128367,Female,35,Clothing,2,600.16,Cash,5/6/2022,Istinye Park,000-46-1260,False
I306408,C247436,Male,41,Clothing,3,900.24,Credit Card,8/7/2022,Forum Istanbul,000-23-2699,False
I202332,C964464,Female,21,Food & Beverage,5,26.15,Cash,22/08/2021,Kanyon,000-45-1835,False
I147750,C286502,Female,31,Technology,1,1050.0,Credit Card,9/12/2022,Emaar Square Mall,000-99-2424,False
I274315,C176815,Male,57,Clothing,4,1200.32,Cash,7/11/2021,Kanyon,000-73-2465,True
I842347,C333610,Male,25,Shoes,1,600.17,Cash,22/06/2022,Metropol AVM,000-36-8530,False
I137131,C248803,Male,61,Clothing,2,600.16,Credit Card,12/11/2021,Emaar Square Mall,000-90-0371,False
I299866,C336391,Male,58,Food & Beverage,5,26.15,Debit Card,25/07/2022,Kanyon,000-47-6824,True
I270175,C163200,Male,58,Souvenir,4,46.92,Credit Card,26/02/2022,Forum Istanbul,000-97-8870,True
I535919,C167100,Female,25,Toys,5,179.2,Debit Card,10/1/2022,Metropol AVM,000-26-7764,False
I178419,C206491,Male,30,Shoes,3,1800.51,Debit Card,1/6/2021,Istinye Park,000-54-6883,True
I312304,C119279,Female,63,Toys,5,179.2,Cash,25/01/2023,Forum Istanbul,000-66-0351,False
I177478,C124441,Male,50,Clothing,2,600.16,Credit Card,8/9/2022,Metrocity,000-47-3097,False
I265565,C303188,Female,23,Clothing,1,300.08,Cash,1/8/2022,Kanyon,000-18-0361,True
I207429,C186905,Female,22,Technology,1,1050.0,Credit Card,2/7/2021,Mall of Istanbul,000-39-8513,False
I122783,C264562,Male,28,Food & Beverage,2,10.46,Cash,25/07/2021,Kanyon,000-92-5503,False
I144789,C128274,Male,54,Souvenir,5,58.65,Credit Card,15/09/2021,Mall of Istanbul,000-62-9481,False
I212421,C208353,Female,31,Toys,2,71.68,Cash,16/01/2021,Istinye Park,000-53-5346,False
I993488,C306117,Female,34,Food & Beverage,1,5.23,Credit Card,3/7/2021,Forum Istanbul,000-72-9721,False
I337227,C764522,Male,41,Clothing,1,300.08,Credit Card,12/1/2021,Istinye Park,000-95-8686,False
I170880,C804376,Male,42,Food & Beverage,5,26.15,Cash,12/6/2021,Kanyon,000-80-7295,False
I296071,C142816,Female,39,Clothing,5,1500.4,Cash,22/06/2021,Mall of Istanbul,000-68-4982,False
I112973,C218951,Female,60,Food & Beverage,3,15.69,Debit Card,22/01/2023,Kanyon,000-82-2161,False
I296899,C760803,Female,51,Shoes,5,3000.85,Debit Card,21/03/2021,Kanyon,000-49-2813,False
I264261,C161127,Female,55,Clothing,3,900.24,Credit Card,19/07/2022,Istinye Park,000-43-3715,True
I195723,C187075,Female,59,Food & Beverage,2,10.46,Credit Card,29/11/2021,Istinye Park,000-71-6093,True
I373839,C414808,Female,38,Food & Beverage,4,20.92,Cash,3/3/2022,Cevahir AVM,000-46-0775,True
I166617,C335092,Female,43,Food & Beverage,5,26.15,Cash,2/8/2022,Cevahir AVM,000-28-5785,True
I192171,C298261,Male,59,Clothing,4,1200.32,Cash,18/01/2021,Kanyon,000-46-7469,False
I426858,C136196,Female,42,Cosmetics,3,121.98,Credit Card,11/2/2023,Forum Istanbul,000-31-2634,False
I105641,C270742,Female,40,Food & Beverage,4,20.92,Credit Card,15/07/2021,Kanyon,000-78-4673,False
I288681,C260142,Female,57,Clothing,4,1200.32,Cash,22/01/2022,Istinye Park,000-33-2873,False
I115006,C328582,Female,25,Food & Beverage,4,20.92,Cash,28/02/2022,Kanyon,000-98-2514,False
I430525,C658907,Female,36,Food & Beverage,2,10.46,Credit Card,8/10/2021,Kanyon,000-30-3897,False
I274076,C318544,Female,40,Food & Beverage,4,20.92,Credit Card,25/03/2022,Forum Istanbul,000-24-0674,False
I116479,C338698,Female,31,Food & Beverage,3,15.69,Cash,21/02/2022,Mall of Istanbul,000-50-9413,False
I231445,C146510,Female,51,Clothing,5,1500.4,Cash,21/08/2021,Metropol AVM,000-26-7223,True
I204941,C201156,Male,69,Souvenir,3,35.19,Debit Card,17/03/2021,Mall of Istanbul,000-43-6056,True
I130750,C498989,Female,37,Toys,5,179.2,Cash,14/02/2023,Forum Istanbul,000-33-3361,False
I234591,C442944,Female,59,Technology,1,1050.0,Debit Card,3/5/2022,Kanyon,000-81-0568,False
I249317,C137468,Female,68,Clothing,4,1200.32,Debit Card,11/2/2021,Mall of Istanbul,000-95-5192,False
I178408,C237980,Male,49,Clothing,3,900.24,Cash,20/02/2023,Mall of Istanbul,000-54-2423,True
I145957,C708510,Female,23,Clothing,4,1200.32,Credit Card,26/09/2021,Cevahir AVM,000-57-7347,False
I116672,C145626,Female,61,Clothing,3,900.24,Credit Card,3/1/2021,Mall of Istanbul,000-79-2663,False
I274148,C176425,Female,52,Food & Beverage,1,5.23,Debit Card,4/2/2022,Metrocity,000-78-4940,False
I154721,C150058,Male,33,Cosmetics,5,203.3,Debit Card,1/10/2021,Metrocity,000-25-0408,True
I107188,C159297,Female,21,Food & Beverage,4,20.92,Cash,17/12/2022,Istinye Park,000-61-8182,True
I100735,C107829,Female,44,Souvenir,4,46.92,Debit Card,2/2/2022,Metropol AVM,000-28-7504,True
I175130,C715295,Male,37,Food & Beverage,3,15.69,Cash,21/01/2023,Mall of Istanbul,000-50-2556,False
I630852,C240339,Female,67,Food & Beverage,2,10.46,Debit Card,14/12/2022,Forum Istanbul,000-10-8948,False
I259277,C355612,Female,34,Toys,3,107.52,Credit Card,11/8/2021,Metrocity,000-74-5427,False
I271769,C248629,Female,47,Cosmetics,5,203.3,Credit Card,3/2/2023,Mall of Istanbul,000-92-4842,True
I253375,C121526,Male,48,Shoes,5,3000.85,Cash,29/12/2022,Metrocity,000-70-4748,True
I314355,C126815,Male,48,Souvenir,3,35.19,Cash,9/7/2021,Zorlu Center,000-83-2409,False
I108644,C296713,Female,47,Clothing,5,1500.4,Credit Card,27/01/2023,Kanyon,000-82-7243,True
I168850,C573013,Female,20,Souvenir,1,11.73,Credit Card,1/3/2022,Viaport Outlet,000-53-1840,True
I313080,C592075,Male,65,Cosmetics,5,203.3,Credit Card,21/09/2022,Kanyon,000-71-0656,False
I316612,C449777,Male,55,Clothing,3,900.24,Cash,19/08/2021,Metropol AVM,000-27-9026,True
I543223,C218752,Male,43,Books,4,60.6,Cash,3/12/2022,Mall of Istanbul,000-24-5047,True
I262655,C966142,Male,62,Shoes,2,1200.34,Debit Card,31/12/2021,Istinye Park,000-13-6580,False
I167458,C213737,Male,61,Books,4,60.6,Cash,12/1/2021,Kanyon,000-89-3610,True
I156765,C267721,Male,28,Cosmetics,3,121.98,Debit Card,22/11/2022,Metrocity,000-67-5855,True
I115102,C106131,Male,59,Cosmetics,3,121.98,Debit Card,13/12/2021,Metrocity,000-21-5347,False
I224078,C860512,Male,57,Books,2,30.3,Debit Card,5/10/2022,Zorlu Center,000-17-9963,False
I225492,C296620,Female,50,Clothing,2,600.16,Debit Card,7/3/2021,Istinye Park,000-92-3197,False
I330119,C104500,Female,58,Souvenir,5,58.65,Cash,15/06/2022,Kanyon,000-84-8625,True
I200408,C210824,Female,30,Souvenir,3,35.19,Debit Card,6/1/2022,Cevahir AVM,000-38-4553,True
I147656,C281073,Female,55,Clothing,3,900.24,Credit Card,16/01/2023,Metrocity,000-35-0369,False
I258456,C105860,Female,37,Shoes,2,1200.34,Cash,11/4/2021,Metropol AVM,000-20-8821,False
I959282,C176925,Female,52,Clothing,2,600.16,Cash,13/06/2021,Mall of Istanbul,000-67-1431,False
I332330,C260817,Female,60,Souvenir,4,46.92,Credit Card,29/10/2022,Viaport Outlet,000-75-6462,False
I218263,C130755,Female,41,Technology,5,5250.0,Cash,5/11/2022,Istinye Park,000-34-8035,True
I311770,C142151,Female,53,Shoes,5,3000.85,Cash,5/6/2022,Cevahir AVM,000-50-9882,False
I128418,C184418,Female,63,Technology,5,5250.0,Cash,22/12/2022,Metrocity,000-87-8381,False
I337570,C142039,Female,18,Clothing,5,1500.4,Debit Card,24/06/2022,Istinye Park,000-17-5915,True
I268982,C225328,Female,67,Clothing,4,1200.32,Cash,14/01/2021,Kanyon,000-60-2423,True
I316950,C323041,Female,67,Clothing,4,1200.32,Debit Card,12/6/2021,Mall of Istanbul,000-64-6056,False
I199844,C309733,Female,50,Cosmetics,5,203.3,Cash,8/3/2022,Kanyon,000-59-6108,False
I123998,C149102,Female,53,Cosmetics,4,162.64,Cash,10/6/2021,Metropol AVM,000-11-4663,True
I332242,C269392,Female,28,Technology,3,3150.0,Cash,20/03/2021,Zorlu Center,000-54-5756,False
I370998,C690728,Male,41,Clothing,1,300.08,Cash,31/05/2021,Mall of Istanbul,000-49-7300,True
I723638,C739178,Male,66,Clothing,2,600.16,Cash,25/08/2021,Kanyon,000-81-1435,False
I909616,C311597,Male,45,Food & Beverage,5,26.15,Cash,25/01/2022,Viaport Outlet,000-37-7278,True
I135195,C268128,Male,44,Clothing,4,1200.32,Cash,28/10/2022,Mall of Istanbul,000-63-7249,False
I179482,C230703,Female,69,Food & Beverage,2,10.46,Credit Card,12/7/2021,Kanyon,000-46-2683,False
I924055,C267550,Female,32,Food & Beverage,4,20.92,Credit Card,15/08/2021,Mall of Istanbul,000-64-6786,True
I217008,C153747,Male,48,Clothing,3,900.24,Credit Card,3/5/2021,Emaar Square Mall,000-27-9620,False
I261686,C447442,Female,19,Food & Beverage,4,20.92,Cash,24/03/2022,Kanyon,000-86-1410,False
I133449,C834188,Female,68,Food & Beverage,5,26.15,Cash,14/09/2022,Metrocity,000-28-3404,False
I109582,C276803,Male,36,Clothing,2,600.16,Credit Card,25/03/2021,Istinye Park,000-48-7776,True
I260132,C187351,Male,30,Cosmetics,1,40.66,Credit Card,14/09/2022,Metropol AVM,000-77-5495,True
I154619,C114323,Female,37,Toys,1,35.84,Credit Card,10/3/2021,Mall of Istanbul,000-18-9677,False
I114236,C307404,Female,36,Food & Beverage,4,20.92,Cash,6/8/2022,Metrocity,000-58-1449,False
I292633,C144402,Female,26,Clothing,3,900.24,Debit Card,6/8/2021,Kanyon,000-10-6708,False
I918446,C145760,Male,21,Cosmetics,5,203.3,Cash,4/3/2022,Viaport Outlet,000-91-4478,False
I201021,C151560,Female,44,Food & Beverage,1,5.23,Credit Card,28/04/2022,Kanyon,000-63-2865,True
I167153,C818592,Male,61,Clothing,2,600.16,Credit Card,8/10/2021,Istinye Park,000-81-7571,True
I306362,C113306,Male,21,Clothing,4,1200.32,Cash,6/11/2021,Istinye Park,000-82-2243,True
I159872,C335564,Male,61,Clothing,4,1200.32,Cash,2/4/2022,Metrocity,000-35-3047,False
I447197,C602930,Female,37,Books,3,45.45,Debit Card,10/1/2021,Metrocity,000-58-4742,False
I657827,C287708,Female,68,Toys,5,179.2,Cash,27/10/2022,Viaport Outlet,000-80-8037,False
I972825,C299423,Male,26,Clothing,2,600.16,Cash,2/4/2021,Kanyon,000-15-4947,False
I182543,C283686,Female,19,Souvenir,5,58.65,Debit Card,15/04/2022,Forum Istanbul,000-84-4979,False
I282422,C371811,Female,28,Clothing,2,600.16,Debit Card,17/02/2021,Istinye Park,000-73-9163,False
I309692,C159916,Female,60,Shoes,5,3000.85,Credit Card,1/4/2021,Emaar Square Mall,000-69-3678,False
I227160,C428427,Female,26,Clothing,3,900.24,Debit Card,10/8/2022,Cevahir AVM,000-13-0040,False
I502659,C210958,Male,34,Technology,2,2100.0,Credit Card,19/06/2022,Mall of Istanbul,000-29-4303,True
I197185,C148253,Male,40,Food & Beverage,3,15.69,Cash,10/9/2021,Cevahir AVM,000-48-7742,False
I338863,C119914,Female,35,Clothing,2,600.16,Credit Card,13/11/2021,Mall of Istanbul,000-25-4713,False
I683611,C240040,Male,58,Food & Beverage,5,26.15,Cash,2/6/2022,Metropol AVM,000-63-2938,False
I478540,C703353,Female,39,Toys,1,35.84,Credit Card,3/2/2022,Cevahir AVM,000-72-4009,False
I182300,C145651,Female,67,Clothing,4,1200.32,Cash,16/07/2022,Metropol AVM,000-13-1955,False
I356966,C279944,Female,66,Clothing,3,900.24,Credit Card,26/06/2022,Mall of Istanbul,000-45-8078,False
I115528,C335808,Male,30,Food & Beverage,2,10.46,Cash,16/08/2022,Metropol AVM,000-18-9812,False
I280426,C258000,Female,45,Food & Beverage,3,15.69,Cash,6/12/2021,Metrocity,000-56-9520,True
I108780,C225218,Female,35,Technology,1,1050.0,Cash,3/1/2023,Kanyon,000-71-9266,True
I854901,C559473,Male,35,Shoes,2,1200.34,Credit Card,12/6/2022,Forum Istanbul,000-65-4225,False
I324203,C330112,Female,68,Clothing,3,900.24,Credit Card,9/4/2022,Metropol AVM,000-90-7799,False
I267411,C197329,Female,26,Shoes,2,1200.34,Debit Card,1/2/2021,Mall of Istanbul,000-98-1959,False
I741309,C303212,Female,21,Food & Beverage,2,10.46,Cash,30/11/2022,Cevahir AVM,000-57-8397,False
I216045,C168612,Male,20,Shoes,4,2400.68,Cash,24/01/2022,Metropol AVM,000-83-0287,True
I644610,C284251,Female,26,Cosmetics,2,81.32,Credit Card,26/09/2021,Metropol AVM,000-43-2668,True
I289172,C181585,Female,28,Clothing,2,600.16,Credit Card,6/6/2022,Metrocity,000-84-0958,True
I149631,C254024,Male,59,Clothing,3,900.24,Credit Card,26/07/2022,Kanyon,000-28-5237,False
I323598,C109148,Male,64,Shoes,1,600.17,Cash,2/3/2022,Metrocity,000-69-2219,False
I255845,C235496,Female,58,Toys,1,35.84,Cash,7/5/2021,Metropol AVM,000-55-2675,True
I285428,C305425,Male,64,Cosmetics,5,203.3,Cash,4/3/2022,Istinye Park,000-16-4467,False
I825913,C294849,Male,58,Clothing,5,1500.4,Debit Card,26/10/2022,Mall of Istanbul,000-56-6873,False
